幹你娘: 髒話: 0.775572657585144, 屌你老母: 0.7581965923309326, 粗口: 0.7560597658157349, 粗話: 0.7392834424972534, 感嘆詞: 0.7087435126304626, 懶音: 0.7064943909645081, 雞巴: 0.7056534290313721, 嘆詞: 0.6996194124221802, 例句: 0.6984925866127014, 屄: 0.6948261260986328, 
婊子: 瘋子: 0.6964986324310303, 賤貨: 0.6891075372695923, 混蛋: 0.6834341883659363, 嚇死: 0.6820706129074097, 老兄: 0.6763105988502502, 氣得: 0.6694960594177246, 老男人: 0.666248619556427, 人給: 0.6613521575927734, 屁: 0.6595643758773804, 她給: 0.6573234796524048, 
賤人: 難為: 0.7300702333450317, 痴: 0.7128239870071411, 喪盡天良: 0.7077349424362183, 真真假假: 0.7064864039421082, 做戲: 0.7040114998817444, 痴戀: 0.7025206685066223, 見鬼: 0.6996670961380005, 我錯: 0.6927862763404846, 貪心: 0.6884351968765259, 弄假成真: 0.686652421951294, 
土匪: 盜匪: 0.8184864521026611, 馬賊: 0.8122001886367798, 賊匪: 0.7466411590576172, 燒殺: 0.7445376515388489, 頭子: 0.7391977310180664, 匪幫: 0.7258367538452148, 匪首: 0.7257315516471863, 地痞: 0.7115142941474915, 土豪: 0.7098385691642761, 無惡不作: 0.7093995809555054, 
龜兒子: 信口雌黃: 0.777060866355896, 㞗: 0.7737297415733337, 寫錯字: 0.7734159827232361, caak: 0.7696694135665894, 肏你媽: 0.7695654630661011, 䃍: 0.7632825374603271, yati: 0.7627105116844177, 透母: 0.7578518986701965, 姦恁娘: 0.7573972344398499, 礧: 0.7560045719146729, 
三小: 二小: 0.546941876411438, 第三十四: 0.5179632902145386, 逢春: 0.5013167858123779, 第三十一: 0.48236846923828125, 第二十八: 0.48134952783584595, 第四十六: 0.48082631826400757, 九鯉湖: 0.47837185859680176, 三清: 0.4779402017593384, 第三十: 0.4775569438934326, 二集: 0.4750896990299225, 
你娘: 你老母: 0.7785909175872803, 啥子: 0.7554489970207214, 吃酒: 0.6926100254058838, 㗎: 0.6884415149688721, 偏要: 0.6884312033653259, 煩: 0.6862174272537231, 爹爹: 0.6844526529312134, 你別: 0.6832021474838257, 喎: 0.6808418035507202, 小孩兒: 0.6767869591712952, 
白目: 討人厭: 0.7814496755599976, 屌: 0.7656656503677368, 蠢: 0.7210795879364014, 小聰明: 0.7205891609191895, 難搞: 0.7168267965316772, 不爽: 0.7139555811882019, 林萃芬: 0.7131271958351135, 笨: 0.7127920985221863, 哭笑不得: 0.7086994647979736, 夭壽: 0.7081102132797241, 
瘋狗: 色狼: 0.6834283471107483, 刀疤: 0.68278968334198, 阿豹: 0.6556351780891418, 阿呆: 0.6490325927734375, 蛇蠍: 0.64787757396698, 橫衝直撞: 0.6475014090538025, 綁票: 0.644900918006897, 惡霸: 0.6428389549255371, 殺人不眨眼: 0.6402187347412109, 黑鬼: 0.6318259239196777, 
人渣: 有話要說: 0.5695303082466125, 雛子: 0.5560698509216309, 京極堂: 0.5546842813491821, 本願: 0.5526237487792969, 妹子: 0.5425950288772583, 葉隱: 0.5355029702186584, 千鶴: 0.5354542136192322, 亞人醬: 0.5319263935089111, 海音: 0.5287862420082092, 美鳥: 0.5286270976066589, 
孬種: 錯體情: 0.6808408498764038, 最恨: 0.6765620708465576, 敲竹槓: 0.6758306622505188, 瞎搞: 0.6708920001983643, 你別: 0.6670404076576233, 沒夠: 0.6595262885093689, 花給: 0.6581365466117859, 你娘: 0.6576622724533081, 歹勢: 0.6569838523864746, 想幹什麼: 0.6554092764854431, 
小偷: 扒手: 0.7338532209396362, 強盜: 0.7333297729492188, 竊賊: 0.7323704957962036, 騙子: 0.7201141119003296, 偷: 0.719374418258667, 偷東西: 0.7179773449897766, 殺人犯: 0.7085053324699402, 流浪漢: 0.7007813453674316, 偷竊: 0.6937159895896912, 冒牌貨: 0.6833837032318115, 
你他媽的: 幹嘛: 0.6476080417633057, 混蛋: 0.6326589584350586, 該死: 0.6266021728515625, 撒謊: 0.6053560972213745, 大喊大叫: 0.6013407111167908, 你媽: 0.5970490574836731, 嚇死: 0.5970296859741211, 打死他: 0.5926079154014587, 走開: 0.5870507955551147, 活該: 0.5847477316856384, 
媽的: 地藏庵: 0.6545583605766296, 南瑤宮: 0.6463444232940674, 公廟: 0.6456491947174072, 朝天宮: 0.6282204985618591, 陸之地: 0.6205732822418213, 三媽: 0.6196342706680298, 六房: 0.617865800857544, 廟廟: 0.617576003074646, 媽: 0.6078664064407349, 分靈: 0.6048844456672668, 
操: 偶師: 0.6823654770851135, 略懂: 0.5783551931381226, 操著: 0.5537273287773132, 不諳: 0.5505086183547974, 會講: 0.5421140193939209, 能講: 0.5271373391151428, 騎射: 0.5245144367218018, 學得: 0.5234894156455994, 聽得懂: 0.5194110870361328, 習: 0.5173833966255188, 
狗: 老鼠: 0.7555913925170898, 猴子: 0.6997430920600891, 小狗: 0.6867688894271851, 貓: 0.6836797595024109, 搖尾: 0.6795017123222351, 隻: 0.6750929355621338, 兔子: 0.674716591835022, 豬來: 0.6713018417358398, 一隻: 0.6667797565460205, 貓的: 0.6480752229690552, 
俗辣: 雯雯: 0.714477002620697, 我的媽: 0.7023738026618958, 蘇小軒: 0.6937606930732727, 屈中恆: 0.6908401846885681, 語潔: 0.6897651553153992, 若穎: 0.6887112259864807, 夏禕: 0.6870361566543579, 呂文琬: 0.6827459931373596, 劉駿耀: 0.6816494464874268, 郭宗坤: 0.6813052296638489, 
雞巴: 膣屄: 0.7269120216369629, 屄: 0.7082499265670776, 胡搞: 0.7061702013015747, 幹你娘: 0.7056534290313721, 恁娘: 0.6912049055099487, 屌你老母: 0.6815287470817566, 正寫: 0.6811337471008301, 肏你媽: 0.6697542667388916, 連謂: 0.6629193425178528, 粗話: 0.6619229912757874, 
妓女: 男妓: 0.8368654251098633, 嫖客: 0.8189629912376404, 妓院: 0.7966325283050537, 娼妓: 0.7623614072799683, 交際花: 0.7503272294998169, 性工作者: 0.7468550205230713, 老鴇: 0.7346252202987671, 賣淫: 0.716322660446167, 情婦: 0.7145878076553345, 賣身: 0.7128403186798096, 
小人: 無端: 0.6930493116378784, 禽獸: 0.6756390333175659, 枉作: 0.6666173934936523, 口舌: 0.6622524857521057, 奴才: 0.662208080291748, 貪財: 0.6597495079040527, 滿口: 0.6588724851608276, 群小: 0.6524243354797363, 之輩: 0.6482682228088379, 無所: 0.6443153619766235, 
敗類: 誣衊: 0.736327052116394, 同流合汙: 0.7343824505805969, 汙衊: 0.7292684316635132, 漢奸: 0.7226312756538391, 縱容: 0.7223564982414246, 喪心病狂: 0.7136408686637878, 貪官: 0.706035852432251, 劫富濟貧: 0.7047606706619263, 包庇: 0.7042810916900635, 賣國賊: 0.7019119262695312, 
騙子: 騙錢: 0.7353478670120239, 小偷: 0.7201141119003296, 瘋子: 0.7179989814758301, 男妓: 0.6956331729888916, 冒牌貨: 0.6855324506759644, 騙徒: 0.6795807480812073, 高富帥: 0.6766523122787476, 賭徒: 0.6763228178024292, 偽君子: 0.6757267117500305, 不折不扣: 0.6714345812797546, 
爛人: 混蛋: 0.6065652966499329, 嘲弄: 0.6050193309783936, 看不下去: 0.5970531702041626, 取笑: 0.5968034267425537, 沒用: 0.5918841361999512, 胡扯: 0.5917120575904846, 吹牛: 0.5915505886077881, 亂來: 0.5878250598907471, 挖苦: 0.5844537615776062, 王八蛋: 0.5825809836387634, 
機掰: brahui: 0.88019859790802, 寬音: 0.8695625066757202, bintun: 0.8653535842895508, 荒木傳: 0.8626587390899658, ᄉ: 0.8607190847396851, korng: 0.8605901002883911, lahnda: 0.8579562306404114, tiennes: 0.8576000332832336, ȯ: 0.8575242757797241, 白讀韻: 0.8568326830863953, 
卒仔: 爛滾: 0.6378034949302673, 夫鬥爛: 0.6323506832122803, 鍾麗緹: 0.6303358674049377, 血償: 0.626051127910614, 吳大維: 0.6258830428123474, 成奎安: 0.625432014465332, 手足情深: 0.6250776052474976, 柯受良: 0.6214341521263123, 林亞珍: 0.620707631111145, 霸王花: 0.6172806620597839, 
變態: 蘿莉控: 0.7578110694885254, 腐女: 0.6822876930236816, 癖好: 0.6821970343589783, 病態: 0.6701103448867798, 好色: 0.6643435955047607, 自戀: 0.6629748344421387, 自戀狂: 0.6594315767288208, 平胸: 0.6589217782020569, 偽娘: 0.6451596021652222, 潔癖: 0.6432831287384033, 
廢物: 廢棄物: 0.7890116572380066, 廢料: 0.7727373838424683, 廚餘: 0.7623742818832397, 汙水: 0.7535619735717773, 垃圾: 0.7417519688606262, 廢水: 0.7036341428756714, 填埋場: 0.6741381883621216, 飲用水: 0.6659902334213257, 垃圾處理: 0.6600224375724792, 食水: 0.6587735414505005, 
賤: 不群: 0.7076839208602905, 精先生: 0.6676409244537354, 奸人: 0.6340280771255493, 醜: 0.6288018822669983, 枉: 0.6257487535476685, 飛傳: 0.6084970235824585, 狐媚: 0.6072369813919067, 妒: 0.6046382188796997, 秦平: 0.6019197106361389, 冤: 0.6008942127227783, 
骯髒鬼: 這是場: 0.48242974281311035, 暴虎: 0.47040480375289917, 卑劣: 0.4699472188949585, 傲慢: 0.4652308523654938, 否定一切: 0.46469545364379883, 荒腔: 0.46201425790786743, 無人性: 0.4604676365852356, 之幕: 0.4601169228553772, 非此即彼: 0.4592020511627197, 以眼還眼: 0.45909035205841064, 
無賴: 唯我獨尊: 0.6798945665359497, 橫衝直撞: 0.6623736023902893, 卑劣: 0.6476743221282959, 不羈: 0.6411164402961731, 任俠: 0.6409845352172852, 霸道: 0.6374242305755615, 鬼畜: 0.637383222579956, 狡猾: 0.636494517326355, 喪盡天良: 0.6339544057846069, 好色: 0.6329494714736938, 
沒水準: 人云亦云: 0.7288135290145874, 最恨: 0.7215631008148193, 隨聲附和: 0.7158719301223755, 公德心: 0.7133870124816895, 難以相處: 0.7126473188400269, 不通人情: 0.7123163938522339, 粗鄙: 0.7110620737075806, 粗豪: 0.7091059684753418, 愚拙: 0.7042902708053589, 厚道: 0.7020759582519531, 
下流: 灰暗: 0.7657331824302673, 梗: 0.7303479313850403, 狸吉: 0.6221829056739807, 無口: 0.58326655626297, 醜陋: 0.5826826095581055, 醜惡: 0.5801321268081665, 蘿莉控: 0.5785868167877197, 自我中心: 0.5665154457092285, 毒舌: 0.5652655363082886, 神出鬼沒: 0.5624018907546997, 
白痴: 瘋子: 0.6971308588981628, 臭美: 0.6665933132171631, 幼稚: 0.6584751605987549, 傻子: 0.6561260223388672, 書呆子: 0.6534204483032227, 愛哭鬼: 0.6495857238769531, 小聰明: 0.6481777429580688, 天才: 0.642672598361969, 不折不扣: 0.6289243102073669, 口頭禪: 0.6210433840751648, 
下三濫: 惡質: 0.6358656287193298, 謾罵: 0.6345716714859009, 汙衊: 0.6201555132865906, 挖苦: 0.6155176162719727, 作秀: 0.6142372488975525, 扣帽子: 0.613615870475769, 言詞: 0.612566351890564, 痛罵: 0.6085048913955688, 抹黑: 0.6060287356376648, 不負責任: 0.6039326190948486, 
抓耙子: 邊說: 0.6605032086372375, 好慘: 0.6536512970924377, 氣定神閒: 0.6448760628700256, 別傻了: 0.6387100219726562, 嘿嘿嘿: 0.6340101361274719, 沒病: 0.6303057670593262, 媽呀: 0.6279480457305908, 胡搞: 0.6276897192001343, 瞎話: 0.6256694793701172, 好騙: 0.6248109340667725, 
靠北: 小門: 0.7071540951728821, 朝南: 0.6468865871429443, 小院: 0.6395834684371948, 側門: 0.6319209337234497, 門道: 0.6319171190261841, 東側: 0.630454421043396, 凸出: 0.6292656660079956, 啟祥門: 0.6288825273513794, 院牆: 0.6247000694274902, 過道: 0.6205770969390869, 
社會敗類: 串謀: 0.514910101890564, 藏毒: 0.48923876881599426, 檢控: 0.4845659136772156, 罪成: 0.4760361313819885, 警罪: 0.47230005264282227, 運毒: 0.47103357315063477, 不遂: 0.4695015549659729, 通輯: 0.4673359990119934, 詐騙罪: 0.46606650948524475, 簡文珊: 0.46271753311157227, 
賤貨: 婊子: 0.6891075968742371, 胡登: 0.6609965562820435, 喬琪: 0.6433510780334473, 酒鬼: 0.6384260654449463, 一臉: 0.6304687261581421, 粗魯: 0.6298843622207642, 膽小怕事: 0.6269679069519043, 瘋子: 0.6268583536148071, 南茜: 0.6233434677124023, 寵壞: 0.6181578636169434, 
狗男女: 窺情: 0.7089259028434753, 芳姐: 0.7029871940612793, 唐姿禮: 0.6856449842453003, 越幫: 0.6843752861022949, 洪美芳: 0.6823539733886719, 高珮怡: 0.680113673210144, 鄭可兒: 0.6747510433197021, 溫淑嫻: 0.6746885776519775, 卓藍: 0.6733611822128296, 齊芯: 0.6727253794670105, 
瘋婆子: 阿炮: 0.7173983454704285, 蕭堯: 0.7158100008964539, 紅面: 0.7134444713592529, 慶仔: 0.7106641530990601, 張珍珍: 0.7093015909194946, 王金珠: 0.7080519199371338, 非白: 0.7053417563438416, 艾千: 0.701106071472168, 龍天翔飾: 0.7004426717758179, 劉嘉芬: 0.6989224553108215, 
小三: 小二: 0.6794663667678833, 小五: 0.6718246936798096, 丫頭: 0.6298444867134094, 小四: 0.6271350383758545, 老公: 0.6255804300308228, 老婆: 0.625404953956604, 出頭: 0.6111830472946167, 小六: 0.6074889898300171, 小王: 0.5929511785507202, makiyo: 0.5856622457504272, 
絕子絕孫: 妄作: 0.7842882871627808, 能忍: 0.7680618762969971, 毒神: 0.7627972364425659, 雖至: 0.7625397443771362, 雞鳴狗盜: 0.7618075609207153, 天理昭彰: 0.7606702446937561, 尋來: 0.7601065635681152, 以私: 0.7560821771621704, 九泉之下: 0.7537091374397278, 李耿明: 0.7520135641098022, 
下賤: 卑賤: 0.83343106508255, 貧賤: 0.7799919843673706, 貪求: 0.7674674987792969, 有識: 0.7619554996490479, 女者: 0.7598360180854797, 輕慢: 0.757667064666748, 不孝: 0.7526615858078003, 嗜酒: 0.7521457672119141, 惻隱之心: 0.7520651817321777, 領群特: 0.7519947290420532, 
肥婆: 契媽: 0.8203408718109131, 姑姐: 0.80171799659729, 阿好: 0.8003731966018677, 林玉剛: 0.7995094060897827, 鄧鏡塵: 0.798204779624939, 馮曉文: 0.7942200899124146, 銀姐: 0.7934293150901794, 譚芳妮: 0.7869460582733154, 張美琳: 0.7856309413909912, 林其欣: 0.7832183241844177, 
笨蛋: 口頭禪: 0.7021216154098511, 愛哭鬼: 0.6952232122421265, 女孩子: 0.6939833164215088, 毒舌: 0.6777393817901611, 學姊: 0.6757703423500061, 帥哥: 0.6745467185974121, 沒轍: 0.6692524552345276, 男孩子: 0.6686745882034302, 蘿莉控: 0.6651318073272705, 傲嬌: 0.659719705581665, 
爛貨: 虎父無犬: 0.6857199668884277, 是菁埔至: 0.646616518497467, 白堆: 0.6317631006240845, 血滴: 0.6068707704544067, 哭墓: 0.6050578355789185, 吳軾: 0.5949622392654419, 村容: 0.592980146408081, 個例: 0.5872766375541687, 年父: 0.5847797989845276, 狩鬼: 0.5815255641937256, 
看門狗: loki: 0.5509786605834961, telltale: 0.5508805513381958, blackjack: 0.5331827998161316, 火狐: 0.5319833159446716, nihilistic: 0.5302711725234985, 狼人: 0.5221842527389526, 合金裝備: 0.521158754825592, 傳送門: 0.5204203128814697, rogue: 0.5189592242240906, gamer: 0.5142565965652466, 
雜種: 猞猁: 0.6213171482086182, 混種: 0.6186298727989197, 赤狐: 0.6128840446472168, 波斯貓: 0.6116448640823364, 狍子: 0.6099436283111572, 毛色: 0.6094143390655518, 黑毛: 0.6032273173332214, 貓種: 0.6019411087036133, 堪貓: 0.5985598564147949, 駝背: 0.5968830585479736, 
骯髒: 愚蠢: 0.7498904466629028, 吵鬧: 0.7022860050201416, 粗魯: 0.6982109546661377, 邋遢: 0.6914108991622925, 可怕: 0.6858460903167725, 齷齪: 0.6858270168304443, 殘忍: 0.684265673160553, 令人作嘔: 0.6840262413024902, 卑鄙: 0.6827179193496704, 醜惡: 0.6819683909416199, 
惡霸: 小混混: 0.7994325160980225, 扒手: 0.7765250205993652, 地痞: 0.7298429012298584, 混混: 0.7284379601478577, 頭子: 0.7240668535232544, 調戲: 0.7180081009864807, 債主: 0.7158364057540894, 鬧事: 0.6933473944664001, 色狼: 0.6911265254020691, 獄友: 0.6870766878128052, 
智障: 弱智: 0.867917537689209, 聾啞: 0.7092738151550293, 傷殘: 0.6979342103004456, 弱能: 0.6503409147262573, 殘疾: 0.637673020362854, 身障: 0.6269999742507935, 殘障: 0.6251978278160095, 失智: 0.6148748993873596, 匡智: 0.6115115880966187, 無業: 0.6110324859619141, 
賊頭: 李青薇: 0.8303269147872925, 雙雛: 0.8264174461364746, 葉玲鳳: 0.8239895701408386, 寇佔文: 0.8215831518173218, 師爸: 0.8213619589805603, 盧國偉: 0.8185768127441406, 江明輝: 0.8173656463623047, 九哥: 0.8168573975563049, 潘卓明: 0.8157283067703247, 萍嫂: 0.8156065940856934, 
丟臉: 不好意思: 0.7837536334991455, 想不到: 0.7689855694770813, 做做: 0.7569614052772522, 沒事: 0.7516427636146545, 發脾氣: 0.7468842267990112, 不敢相信: 0.7450382113456726, 反問: 0.7446490526199341, 難受: 0.7425788044929504, 很慘: 0.7410100698471069, 亂說話: 0.7389214038848877, 
番仔: 湖莊: 0.791582465171814, 番婆: 0.7886046171188354, 番社: 0.784188985824585, 原寫: 0.783906102180481, 南勢: 0.7828720808029175, 藔: 0.7802661657333374, 北勢: 0.7782493233680725, 溝仔: 0.7743452787399292, 社寮: 0.7734513282775879, 土牛: 0.7725046277046204, 
米蟲: 踹: 0.5749061703681946, 花大錢: 0.5589210987091064, 順手: 0.5508753061294556, 打他: 0.5507354736328125, 要錢: 0.5431150794029236, 飯碗: 0.5409168601036072, 傑哥: 0.5374740362167358, 很慘: 0.5373531579971313, 去當: 0.5367554426193237, 看不下去: 0.5354527235031128, 
順仔: 愛讀冊: 0.6694164276123047, 天涯共此時: 0.6672136783599854, 徐瑋: 0.6626933217048645, 劉引商: 0.6560709476470947, 鄭家榆: 0.656029999256134, 今生今世: 0.6554616093635559, 月鳳: 0.6553499102592468, 郎歸晚: 0.6510915756225586, 楊靜: 0.6497810482978821, 俞心蕾: 0.6478239297866821, 
不得好死: 忍心: 0.7908251285552979, 毒誓: 0.7816316485404968, 置於死地: 0.7744000554084778, 哀求: 0.770272970199585, 求饒: 0.7690714597702026, 拂袖而去: 0.764996349811554, 執迷不悟: 0.7630562782287598, 眾人以: 0.7625762224197388, 不忍心: 0.761993944644928, 雖知: 0.7574905157089233, 
卑鄙: 卑劣: 0.8604565262794495, 狡猾: 0.8232115507125854, 粗暴: 0.8149268627166748, 殘忍: 0.8116002082824707, 魯莽: 0.8043524622917175, 狂妄: 0.7966489791870117, 玩弄: 0.7835928797721863, 毫不留情: 0.7824276089668274, 狡詐: 0.7808893918991089, 冷酷無情: 0.7781081199645996, 
心理變態: 油腔滑調: 0.7272137403488159, 憤世嫉俗: 0.7227174639701843, 裝腔作勢: 0.7149113416671753, 上進心: 0.7134940028190613, 不學無術: 0.7120323777198792, 好勇鬥狠: 0.7109663486480713, 愛出風頭: 0.7080581784248352, 玩世不恭: 0.7007191181182861, 喜怒無常: 0.7002420425415039, 偽君子: 0.6951950788497925, 
狐狸精: 姥姥: 0.8178795576095581, 妖女: 0.8063005805015564, 蜘蛛精: 0.7985882759094238, 女鬼: 0.7800042033195496, 至尊寶: 0.7748637199401855, 情比金堅: 0.7702696323394775, 黃鶯: 0.7676950097084045, 蛇蠍: 0.7666025757789612, 村姑: 0.7640607357025146, 玉面: 0.7548400163650513, 
三八: 姚子期: 0.7053226828575134, 阿嬋: 0.6962565183639526, 文子祥: 0.694840669631958, 六嫂: 0.6895402669906616, 利在山: 0.6892035007476807, 宋夫人: 0.6882410645484924, 黃蝴蝶: 0.6844719648361206, 劉金鵬: 0.6839262247085571, 孫雄: 0.6838473677635193, 張世安: 0.6827688813209534, 
牠: 獵物: 0.7894394993782043, 獵食: 0.767829179763794, 食性: 0.7284361124038696, 雄性: 0.7256346940994263, 母熊: 0.7223167419433594, 雌性: 0.7204171419143677, 捕食: 0.7161867618560791, 雄鳥: 0.7021803259849548, 鳥類: 0.7006146907806396, 習性: 0.6964675188064575, 
婊: 幹你娘: 0.6853289604187012, 腦殘: 0.6565971374511719, 蝦米: 0.6228983402252197, obov: 0.6203415989875793, 春哥: 0.6011404395103455, 同人女: 0.5920194983482361, 綠茶: 0.5913863182067871, 胡搞: 0.5887449383735657, 摳: 0.5867964029312134, 蔑稱: 0.5838406085968018, 
鴨霸: 蔡易餘: 0.6365130543708801, 辜寬敏: 0.6169193983078003, 王奕凱: 0.6111363172531128, 口口聲聲: 0.6100412011146545, 蔡丁貴: 0.6084758043289185, 李承龍: 0.6078133583068848, 哲為: 0.597913920879364, 李應元: 0.5879431962966919, 姚人: 0.5868340730667114, 張俊宏: 0.5851835012435913, 
神棍: 奪魄: 0.7056453227996826, 神打: 0.6953818202018738, 王小虎: 0.6940365433692932, 降頭: 0.6877584457397461, 運財: 0.6846376657485962, 雄哥: 0.6817461848258972, 黑無常: 0.6812346577644348, 九叔: 0.6810941100120544, 回魂夜: 0.6750352382659912, 救世: 0.6747032999992371, 
滾: 強強: 0.7831571102142334, 碰: 0.7030535340309143, 踢踏: 0.6721673011779785, 大球: 0.6666839122772217, 踩: 0.6658656597137451, 幾下: 0.6595323085784912, 疊起: 0.6546010375022888, 用力: 0.6542840003967285, 鐵板: 0.6518179178237915, 踹: 0.6517593264579773, 
禽獸: 羞: 0.7646384835243225, 其肉: 0.7589676976203918, 牛犬: 0.7577123641967773, 唾: 0.7571859955787659, 不擇: 0.755771279335022, 道者: 0.7498570680618286, 厭: 0.7475688457489014, 死生: 0.7462530732154846, 故曰: 0.7420589923858643, 無所不至: 0.7407473921775818, 
豬: 豬的: 0.6629512310028076, 雞: 0.6611838936805725, 狼狗: 0.6541029810905457, 蟑螂: 0.6325374841690063, 的豬: 0.6289580464363098, 蘿蔔: 0.6271165013313293, 鼠: 0.6256593465805054, 天竺鼠: 0.6247731447219849, 臭鼬: 0.6184887886047363, 螃蟹: 0.617641806602478, 
豬狗不如: 分筋: 0.7535454034805298, 招招: 0.7516409158706665, 伏虎羅漢: 0.7498170137405396, 借劍: 0.7435859441757202, 大喝一聲: 0.7417587041854858, 對槍: 0.7384880781173706, 齊眉棍: 0.7337130904197693, 冷箭: 0.7335874438285828, 無招: 0.7269892692565918, 段家劍: 0.7269799709320068, 
